gene,cefoperazone,clindamycin,streptomycin,gnotobiotic
272563.8.peg.1023,0.0,0.0,0.0,0.0
272563.8.peg.1034,1.0,2.0,4.0,0.0
272563.8.peg.1040,0.0,0.0,0.0,0.0
272563.8.peg.1041,0.0,0.0,0.0,0.0
272563.8.peg.1042,0.0,0.0,1.0,0.0
272563.8.peg.1043,0.0,2.0,0.0,0.0
272563.8.peg.1045,1.0,1.0,3.0,0.0
272563.8.peg.1046,0.0,0.0,4.0,1.0
272563.8.peg.1052,0.0,0.0,0.0,0.0
272563.8.peg.1054,1.0,0.0,0.0,1.0
272563.8.peg.1055,1.0,1.0,2.0,0.0
272563.8.peg.1056,2.0,1.0,0.0,2.0
272563.8.peg.105,52.0,39.0,24.0,172.0
272563.8.peg.1062,11.0,1.0,6.0,1.0
272563.8.peg.106,80.0,33.0,16.0,29.0
272563.8.peg.1085,0.0,2.0,1.0,0.0
272563.8.peg.1086,0.0,0.0,0.0,0.0
272563.8.peg.1087,4.0,7.0,7.0,2.0
272563.8.peg.1088,1.0,0.0,7.0,1.0
272563.8.peg.1099,3.0,2.0,4.0,1.0
272563.8.peg.10,9.0,5.0,1.0,10.0
272563.8.peg.1101,2.0,3.0,5.0,2.0
272563.8.peg.1109,49.0,72.0,81.0,8.0
272563.8.peg.1110,52.0,51.0,129.0,7.0
272563.8.peg.1111,63.0,64.0,130.0,10.0
272563.8.peg.1124,1.0,3.0,2.0,0.0
272563.8.peg.1128,1.0,1.0,1.0,0.0
272563.8.peg.1130,0.0,1.0,2.0,1.0
272563.8.peg.1131,0.0,0.0,0.0,0.0
272563.8.peg.1132,1.0,2.0,2.0,0.0
272563.8.peg.1137,1.0,1.0,4.0,1.0
272563.8.peg.113,76.0,46.0,31.0,303.0
272563.8.peg.1175,0.0,2.0,2.0,1.0
272563.8.peg.1176,1.0,4.0,2.0,0.0
272563.8.peg.1186,0.0,2.0,1.0,0.0
272563.8.peg.1191,2.0,2.0,9.0,1.0
272563.8.peg.1211,7.0,13.0,14.0,5.0
272563.8.peg.121,2.0,4.0,0.0,2.0
272563.8.peg.1224,1.0,0.0,0.0,0.0
272563.8.peg.122,7.0,1.0,3.0,5.0
272563.8.peg.1231,38.0,51.0,24.0,0.0
272563.8.peg.1233,20.0,15.0,19.0,213.0
272563.8.peg.1238,15.0,7.0,1.0,4.0
272563.8.peg.123,19.0,15.0,7.0,7.0
272563.8.peg.1240,18.0,7.0,2.0,3.0
272563.8.peg.1243,36.0,8.0,5.0,16.0
272563.8.peg.1250,10.0,5.0,2.0,1.0
272563.8.peg.1264,1.0,0.0,3.0,6.0
272563.8.peg.1266,2.0,1.0,1.0,1.0
272563.8.peg.1279,6.0,7.0,6.0,1.0
272563.8.peg.1282,6.0,8.0,7.0,1.0
272563.8.peg.1283,1.0,10.0,6.0,1.0
272563.8.peg.1284,1.0,2.0,1.0,0.0
272563.8.peg.128,2.0,12.0,15.0,1.0
272563.8.peg.129,4.0,22.0,27.0,6.0
272563.8.peg.1312,3.0,0.0,3.0,1.0
272563.8.peg.1314,5.0,1.0,3.0,1.0
272563.8.peg.1339,3.0,6.0,4.0,11.0
272563.8.peg.1344,11.0,4.0,6.0,2.0
272563.8.peg.1347,6.0,5.0,6.0,4.0
272563.8.peg.135,10.0,12.0,4.0,3.0
272563.8.peg.1360,7.0,2.0,1.0,2.0
272563.8.peg.1361,6.0,8.0,1.0,2.0
272563.8.peg.1365,1.0,1.0,3.0,0.0
272563.8.peg.1370,4.0,5.0,4.0,5.0
272563.8.peg.1373,9.0,8.0,7.0,22.0
272563.8.peg.1382,7.0,2.0,4.0,2.0
272563.8.peg.1389,2.0,11.0,7.0,3.0
272563.8.peg.1394,4.0,2.0,2.0,1.0
272563.8.peg.1399,2.0,6.0,4.0,2.0
272563.8.peg.139,2.0,7.0,3.0,19.0
272563.8.peg.13,11.0,7.0,5.0,26.0
272563.8.peg.1401,7.0,1.0,11.0,41.0
272563.8.peg.1403,1.0,1.0,1.0,0.0
272563.8.peg.1405,1.0,3.0,0.0,0.0
272563.8.peg.1406,23.0,65.0,84.0,11.0
272563.8.peg.1407,2.0,8.0,3.0,1.0
272563.8.peg.1411,3.0,5.0,4.0,4.0
272563.8.peg.1421,3.0,1.0,3.0,1.0
272563.8.peg.1453,1.0,2.0,2.0,1.0
272563.8.peg.1457,1.0,0.0,0.0,0.0
272563.8.peg.1458,4.0,0.0,2.0,0.0
272563.8.peg.146,8.0,8.0,4.0,27.0
272563.8.peg.1472,2.0,4.0,6.0,1.0
272563.8.peg.1473,0.0,0.0,0.0,0.0
272563.8.peg.1479,0.0,2.0,0.0,0.0
272563.8.peg.1481,4.0,0.0,3.0,1.0
272563.8.peg.1498,1.0,0.0,3.0,0.0
272563.8.peg.14,13.0,3.0,6.0,25.0
272563.8.peg.1517,1.0,0.0,2.0,0.0
272563.8.peg.1518,1.0,1.0,3.0,2.0
272563.8.peg.1519,2.0,2.0,2.0,0.0
272563.8.peg.151,3.0,2.0,2.0,6.0
272563.8.peg.1521,4.0,6.0,3.0,1.0
272563.8.peg.1522,7.0,4.0,2.0,1.0
272563.8.peg.1523,2.0,5.0,7.0,2.0
272563.8.peg.1524,9.0,2.0,3.0,2.0
272563.8.peg.1525,16.0,5.0,2.0,2.0
272563.8.peg.1527,7.0,13.0,7.0,24.0
272563.8.peg.152,4.0,6.0,6.0,1.0
272563.8.peg.153,5.0,3.0,9.0,1.0
272563.8.peg.1551,1.0,1.0,2.0,0.0
272563.8.peg.1554,1.0,3.0,2.0,0.0
272563.8.peg.1555,3.0,1.0,4.0,0.0
272563.8.peg.1556,11.0,13.0,22.0,1.0
272563.8.peg.1562,0.0,2.0,2.0,0.0
272563.8.peg.1563,1.0,1.0,3.0,1.0
272563.8.peg.1567,8.0,4.0,7.0,5.0
272563.8.peg.1570,11.0,7.0,20.0,7.0
272563.8.peg.1574,2.0,2.0,0.0,1.0
272563.8.peg.1586,0.0,0.0,3.0,1.0
272563.8.peg.1587,1.0,1.0,2.0,1.0
272563.8.peg.1593,1.0,35.0,2.0,2.0
272563.8.peg.1597,12.0,5.0,6.0,4.0
272563.8.peg.1602,7.0,5.0,6.0,0.0
272563.8.peg.1610,2.0,1.0,4.0,0.0
272563.8.peg.1623,1.0,0.0,0.0,0.0
272563.8.peg.1625,2.0,0.0,1.0,1.0
272563.8.peg.1626,1.0,0.0,0.0,1.0
272563.8.peg.1628,3.0,0.0,0.0,1.0
272563.8.peg.1629,0.0,0.0,3.0,1.0
272563.8.peg.1630,1.0,0.0,0.0,1.0
272563.8.peg.1641,0.0,1.0,1.0,0.0
272563.8.peg.1645,0.0,0.0,1.0,0.0
272563.8.peg.1647,0.0,2.0,0.0,1.0
272563.8.peg.164,10.0,4.0,6.0,7.0
272563.8.peg.1652,5.0,7.0,12.0,4.0
272563.8.peg.1655,0.0,0.0,0.0,0.0
272563.8.peg.1657,1.0,0.0,0.0,1.0
272563.8.peg.1667,0.0,0.0,0.0,0.0
272563.8.peg.1668,0.0,0.0,0.0,0.0
272563.8.peg.1669,0.0,0.0,0.0,0.0
272563.8.peg.1670,0.0,4.0,0.0,0.0
272563.8.peg.1671,1.0,1.0,0.0,0.0
272563.8.peg.1673,3.0,2.0,1.0,1.0
272563.8.peg.1676,1.0,0.0,0.0,0.0
272563.8.peg.1677,0.0,0.0,0.0,0.0
272563.8.peg.1678,1.0,0.0,2.0,1.0
272563.8.peg.1679,1.0,2.0,2.0,0.0
272563.8.peg.1708,0.0,2.0,1.0,0.0
272563.8.peg.1714,12.0,13.0,16.0,3.0
272563.8.peg.1724,0.0,0.0,0.0,0.0
272563.8.peg.1725,0.0,0.0,0.0,0.0
272563.8.peg.1726,1.0,0.0,0.0,0.0
272563.8.peg.1727,0.0,0.0,0.0,0.0
272563.8.peg.1730,0.0,0.0,6.0,1.0
272563.8.peg.1731,3.0,1.0,3.0,1.0
272563.8.peg.1732,3.0,2.0,2.0,1.0
272563.8.peg.1734,1.0,2.0,10.0,0.0
272563.8.peg.1735,2.0,5.0,13.0,0.0
272563.8.peg.1740,1.0,2.0,0.0,1.0
272563.8.peg.1743,0.0,0.0,0.0,0.0
272563.8.peg.1744,2.0,1.0,0.0,0.0
272563.8.peg.1768,9.0,20.0,18.0,10.0
272563.8.peg.1769,21.0,24.0,21.0,4.0
272563.8.peg.1774,4.0,3.0,2.0,2.0
272563.8.peg.1775,14.0,0.0,0.0,3.0
272563.8.peg.1776,17.0,0.0,1.0,3.0
272563.8.peg.1777,11.0,0.0,0.0,1.0
272563.8.peg.1778,12.0,0.0,0.0,1.0
272563.8.peg.1781,0.0,0.0,1.0,0.0
272563.8.peg.1782,0.0,0.0,0.0,0.0
272563.8.peg.1786,0.0,6.0,1.0,1.0
272563.8.peg.1796,0.0,1.0,1.0,1.0
272563.8.peg.1810,0.0,0.0,1.0,1.0
272563.8.peg.1815,2.0,0.0,0.0,0.0
272563.8.peg.1830,0.0,0.0,0.0,0.0
272563.8.peg.1831,0.0,0.0,1.0,0.0
272563.8.peg.1842,1.0,1.0,0.0,0.0
272563.8.peg.1852,4.0,4.0,4.0,2.0
272563.8.peg.1855,0.0,2.0,0.0,2.0
272563.8.peg.1873,2.0,1.0,2.0,1.0
272563.8.peg.1881,5.0,8.0,2.0,1.0
272563.8.peg.1886,45.0,42.0,50.0,1.0
272563.8.peg.1895,1.0,0.0,0.0,0.0
272563.8.peg.1897,0.0,0.0,1.0,0.0
272563.8.peg.1904,4.0,1.0,3.0,3.0
272563.8.peg.1906,4.0,1.0,1.0,1.0
272563.8.peg.1908,3.0,6.0,2.0,1.0
272563.8.peg.1910,0.0,0.0,0.0,0.0
272563.8.peg.1912,2.0,0.0,2.0,0.0
272563.8.peg.1916,3.0,2.0,0.0,1.0
272563.8.peg.1917,2.0,2.0,1.0,0.0
272563.8.peg.1922,0.0,5.0,2.0,0.0
272563.8.peg.1923,1.0,1.0,1.0,2.0
272563.8.peg.1924,0.0,0.0,0.0,2.0
272563.8.peg.1925,1.0,1.0,1.0,2.0
272563.8.peg.1926,0.0,1.0,0.0,1.0
272563.8.peg.1927,2.0,1.0,1.0,0.0
272563.8.peg.1928,0.0,0.0,0.0,2.0
272563.8.peg.1929,0.0,1.0,0.0,1.0
272563.8.peg.1930,1.0,0.0,0.0,2.0
272563.8.peg.194,20.0,34.0,45.0,1.0
272563.8.peg.195,30.0,28.0,59.0,2.0
272563.8.peg.196,7.0,4.0,2.0,2.0
272563.8.peg.198,24.0,53.0,80.0,4.0
272563.8.peg.1993,2.0,9.0,2.0,0.0
272563.8.peg.1994,1.0,0.0,1.0,0.0
272563.8.peg.2009,7.0,0.0,1.0,8.0
272563.8.peg.2010,3.0,0.0,2.0,8.0
272563.8.peg.2013,5.0,0.0,1.0,9.0
272563.8.peg.2020,4.0,0.0,0.0,4.0
272563.8.peg.2022,0.0,0.0,0.0,0.0
272563.8.peg.202,2.0,2.0,0.0,14.0
272563.8.peg.2032,19.0,12.0,6.0,1.0
272563.8.peg.2033,24.0,8.0,7.0,1.0
272563.8.peg.2034,27.0,8.0,10.0,1.0
272563.8.peg.2035,21.0,12.0,7.0,2.0
272563.8.peg.205,9.0,2.0,1.0,9.0
272563.8.peg.206,0.0,1.0,2.0,0.0
272563.8.peg.2071,3.0,5.0,1.0,1.0
272563.8.peg.2085,4.0,7.0,0.0,0.0
272563.8.peg.2117,0.0,3.0,1.0,0.0
272563.8.peg.2133,2.0,7.0,3.0,1.0
272563.8.peg.2135,0.0,0.0,0.0,0.0
272563.8.peg.2136,0.0,0.0,0.0,0.0
272563.8.peg.2137,0.0,0.0,0.0,0.0
272563.8.peg.2138,0.0,0.0,0.0,0.0
272563.8.peg.2139,0.0,0.0,0.0,0.0
272563.8.peg.2144,0.0,0.0,0.0,0.0
272563.8.peg.2156,0.0,0.0,0.0,1.0
272563.8.peg.2160,0.0,2.0,0.0,1.0
272563.8.peg.2161,0.0,0.0,3.0,0.0
272563.8.peg.217,4.0,3.0,1.0,3.0
272563.8.peg.2181,0.0,0.0,0.0,0.0
272563.8.peg.2182,0.0,1.0,0.0,0.0
272563.8.peg.2183,2.0,4.0,2.0,0.0
272563.8.peg.2187,0.0,0.0,0.0,0.0
272563.8.peg.2188,1.0,0.0,0.0,0.0
272563.8.peg.2189,0.0,0.0,0.0,0.0
272563.8.peg.2190,0.0,0.0,1.0,0.0
272563.8.peg.2194,0.0,1.0,0.0,0.0
272563.8.peg.2195,1.0,0.0,0.0,0.0
272563.8.peg.2197,0.0,1.0,0.0,0.0
272563.8.peg.2198,0.0,0.0,1.0,0.0
272563.8.peg.2215,3.0,5.0,4.0,2.0
272563.8.peg.2218,4.0,4.0,1.0,4.0
272563.8.peg.2223,0.0,1.0,2.0,1.0
272563.8.peg.2227,1.0,0.0,4.0,1.0
272563.8.peg.2229,2.0,0.0,5.0,0.0
272563.8.peg.2230,2.0,3.0,4.0,0.0
272563.8.peg.2243,3.0,3.0,1.0,5.0
272563.8.peg.2247,6.0,0.0,3.0,4.0
272563.8.peg.2248,11.0,2.0,6.0,3.0
272563.8.peg.224,1.0,3.0,3.0,0.0
272563.8.peg.225,0.0,7.0,3.0,0.0
272563.8.peg.226,0.0,4.0,6.0,0.0
272563.8.peg.2278,4.0,8.0,7.0,1.0
272563.8.peg.2282,1.0,2.0,1.0,0.0
272563.8.peg.2286,29.0,2.0,5.0,6.0
272563.8.peg.2299,0.0,7.0,0.0,0.0
272563.8.peg.229,4.0,3.0,1.0,1.0
272563.8.peg.22,7.0,7.0,11.0,38.0
272563.8.peg.2302,0.0,2.0,2.0,0.0
272563.8.peg.2303,3.0,0.0,2.0,0.0
272563.8.peg.2304,4.0,1.0,3.0,0.0
272563.8.peg.2306,1.0,0.0,1.0,0.0
272563.8.peg.2315,0.0,0.0,0.0,0.0
272563.8.peg.2316,0.0,0.0,0.0,0.0
272563.8.peg.2321,1.0,1.0,0.0,0.0
272563.8.peg.2333,1.0,2.0,0.0,1.0
272563.8.peg.2351,5.0,0.0,3.0,0.0
272563.8.peg.2355,12.0,1.0,15.0,99.0
272563.8.peg.2356,2.0,0.0,7.0,4.0
272563.8.peg.2360,7.0,2.0,0.0,44.0
272563.8.peg.2369,0.0,0.0,1.0,0.0
272563.8.peg.2370,0.0,0.0,0.0,0.0
272563.8.peg.237,4.0,3.0,1.0,2.0
272563.8.peg.2383,3.0,2.0,22.0,2.0
272563.8.peg.2384,1.0,2.0,18.0,0.0
272563.8.peg.238,3.0,1.0,3.0,2.0
272563.8.peg.2392,0.0,1.0,0.0,0.0
272563.8.peg.2393,0.0,2.0,0.0,0.0
272563.8.peg.2394,0.0,1.0,0.0,0.0
272563.8.peg.2395,0.0,2.0,2.0,0.0
272563.8.peg.2396,0.0,1.0,1.0,0.0
272563.8.peg.239,6.0,4.0,1.0,1.0
272563.8.peg.2400,0.0,3.0,2.0,0.0
272563.8.peg.240,8.0,2.0,1.0,1.0
272563.8.peg.241,4.0,4.0,3.0,2.0
272563.8.peg.242,3.0,4.0,3.0,2.0
272563.8.peg.2436,3.0,0.0,7.0,1.0
272563.8.peg.2438,24.0,17.0,53.0,4.0
272563.8.peg.2439,15.0,10.0,23.0,5.0
272563.8.peg.243,9.0,5.0,6.0,1.0
272563.8.peg.2440,5.0,5.0,30.0,0.0
272563.8.peg.2441,3.0,5.0,27.0,0.0
272563.8.peg.2442,5.0,13.0,42.0,0.0
272563.8.peg.2443,3.0,4.0,16.0,0.0
272563.8.peg.2444,3.0,1.0,23.0,0.0
272563.8.peg.2446,11.0,11.0,6.0,4.0
272563.8.peg.2447,5.0,1.0,1.0,1.0
272563.8.peg.2448,36.0,1.0,26.0,8.0
272563.8.peg.2449,28.0,1.0,10.0,11.0
272563.8.peg.2450,20.0,0.0,12.0,3.0
272563.8.peg.2451,22.0,1.0,8.0,5.0
272563.8.peg.2452,19.0,11.0,7.0,5.0
272563.8.peg.2455,19.0,28.0,32.0,0.0
272563.8.peg.2456,6.0,16.0,12.0,0.0
272563.8.peg.2458,6.0,24.0,22.0,0.0
272563.8.peg.2464,2.0,1.0,5.0,0.0
272563.8.peg.2470,40.0,47.0,56.0,7.0
272563.8.peg.2471,33.0,42.0,45.0,2.0
272563.8.peg.2482,8.0,14.0,10.0,5.0
272563.8.peg.2487,1.0,1.0,0.0,0.0
272563.8.peg.2488,0.0,0.0,0.0,0.0
272563.8.peg.2489,0.0,0.0,2.0,0.0
272563.8.peg.2496,17.0,54.0,31.0,1.0
272563.8.peg.2499,6.0,40.0,37.0,0.0
272563.8.peg.24,4.0,5.0,1.0,3.0
272563.8.peg.2520,2.0,3.0,2.0,6.0
272563.8.peg.2521,0.0,2.0,1.0,1.0
272563.8.peg.2528,9.0,28.0,2.0,5.0
272563.8.peg.2531,0.0,1.0,0.0,0.0
272563.8.peg.2532,0.0,0.0,0.0,0.0
272563.8.peg.2536,0.0,0.0,0.0,0.0
272563.8.peg.2550,0.0,2.0,2.0,0.0
272563.8.peg.2551,7.0,15.0,10.0,6.0
272563.8.peg.2552,15.0,5.0,10.0,38.0
272563.8.peg.2558,4.0,5.0,4.0,1.0
272563.8.peg.2559,2.0,4.0,3.0,0.0
272563.8.peg.2568,10.0,17.0,12.0,1.0
272563.8.peg.2586,1.0,0.0,0.0,0.0
272563.8.peg.2588,0.0,2.0,1.0,0.0
272563.8.peg.2596,5.0,0.0,0.0,1.0
272563.8.peg.2606,0.0,0.0,2.0,0.0
272563.8.peg.2607,0.0,0.0,0.0,1.0
272563.8.peg.2613,3.0,4.0,1.0,2.0
272563.8.peg.2617,1.0,1.0,1.0,1.0
272563.8.peg.2622,1.0,3.0,0.0,0.0
272563.8.peg.2624,0.0,3.0,4.0,0.0
272563.8.peg.2631,0.0,3.0,1.0,0.0
272563.8.peg.2632,0.0,2.0,0.0,0.0
272563.8.peg.2634,0.0,4.0,0.0,0.0
272563.8.peg.2636,15.0,23.0,21.0,61.0
272563.8.peg.2638,5.0,6.0,10.0,4.0
272563.8.peg.2644,8.0,11.0,9.0,18.0
272563.8.peg.2647,3.0,1.0,2.0,3.0
272563.8.peg.2660,0.0,0.0,1.0,0.0
272563.8.peg.2663,0.0,0.0,0.0,1.0
272563.8.peg.2680,1.0,0.0,2.0,1.0
272563.8.peg.2693,1.0,3.0,4.0,0.0
272563.8.peg.2697,1.0,0.0,2.0,0.0
272563.8.peg.2698,12.0,5.0,3.0,3.0
272563.8.peg.2699,4.0,4.0,3.0,6.0
272563.8.peg.2708,5.0,0.0,3.0,3.0
272563.8.peg.2709,0.0,3.0,3.0,18.0
272563.8.peg.2710,2.0,2.0,1.0,1.0
272563.8.peg.2711,7.0,5.0,4.0,3.0
272563.8.peg.2713,4.0,3.0,3.0,2.0
272563.8.peg.2715,2.0,1.0,2.0,1.0
272563.8.peg.2716,7.0,7.0,8.0,0.0
272563.8.peg.2719,0.0,1.0,0.0,3.0
272563.8.peg.2720,1.0,2.0,2.0,1.0
272563.8.peg.2721,0.0,3.0,0.0,4.0
272563.8.peg.2733,14.0,7.0,1.0,3.0
272563.8.peg.2734,5.0,4.0,0.0,2.0
272563.8.peg.2736,54.0,48.0,34.0,12.0
272563.8.peg.2741,13.0,15.0,14.0,22.0
272563.8.peg.2754,7.0,2.0,7.0,4.0
272563.8.peg.2775,4.0,6.0,12.0,3.0
272563.8.peg.2777,10.0,5.0,6.0,1.0
272563.8.peg.2778,9.0,4.0,2.0,1.0
272563.8.peg.2790,0.0,0.0,0.0,0.0
272563.8.peg.2791,0.0,1.0,0.0,0.0
272563.8.peg.2793,4.0,4.0,4.0,3.0
