gene,cefoperazone,clindamycin,streptomycin,gnotobiotic
272563.8.peg.2794,1.0,2.0,1.0,4.0
272563.8.peg.2795,0.0,2.0,0.0,2.0
272563.8.peg.2796,4.0,17.0,6.0,12.0
272563.8.peg.2798,2.0,2.0,1.0,0.0
272563.8.peg.2800,0.0,9.0,1.0,0.0
272563.8.peg.2803,0.0,5.0,0.0,0.0
272563.8.peg.2804,0.0,4.0,0.0,0.0
272563.8.peg.2806,105.0,86.0,107.0,138.0
272563.8.peg.2816,6.0,1.0,0.0,13.0
272563.8.peg.2818,17.0,25.0,32.0,11.0
272563.8.peg.2820,7.0,0.0,0.0,3.0
272563.8.peg.2821,0.0,2.0,2.0,1.0
272563.8.peg.2829,4.0,0.0,0.0,3.0
272563.8.peg.2830,6.0,4.0,1.0,2.0
272563.8.peg.2833,0.0,0.0,0.0,0.0
272563.8.peg.2839,5.0,3.0,1.0,2.0
272563.8.peg.2840,2.0,4.0,1.0,10.0
272563.8.peg.2852,0.0,0.0,1.0,0.0
272563.8.peg.2853,0.0,7.0,6.0,15.0
272563.8.peg.2860,1.0,2.0,0.0,0.0
272563.8.peg.2861,0.0,0.0,0.0,0.0
272563.8.peg.2862,0.0,0.0,1.0,0.0
272563.8.peg.2865,13.0,5.0,1.0,1.0
272563.8.peg.2866,9.0,8.0,5.0,40.0
272563.8.peg.2867,3.0,6.0,3.0,4.0
272563.8.peg.2871,2.0,1.0,2.0,1.0
272563.8.peg.2872,3.0,3.0,5.0,3.0
272563.8.peg.2882,23.0,11.0,8.0,22.0
272563.8.peg.2888,2.0,3.0,6.0,2.0
272563.8.peg.2889,1.0,1.0,0.0,0.0
272563.8.peg.2898,9.0,1.0,2.0,2.0
272563.8.peg.2899,4.0,1.0,0.0,1.0
272563.8.peg.2901,2.0,6.0,1.0,2.0
272563.8.peg.2906,5.0,3.0,0.0,1.0
272563.8.peg.2907,4.0,2.0,1.0,1.0
272563.8.peg.2910,7.0,6.0,11.0,3.0
272563.8.peg.2911,19.0,8.0,2.0,6.0
272563.8.peg.2913,0.0,0.0,2.0,1.0
272563.8.peg.2916,8.0,17.0,16.0,2.0
272563.8.peg.2918,17.0,16.0,24.0,5.0
272563.8.peg.2921,1.0,1.0,1.0,1.0
272563.8.peg.2922,0.0,3.0,5.0,0.0
272563.8.peg.2923,2.0,1.0,1.0,2.0
272563.8.peg.2926,0.0,0.0,0.0,0.0
272563.8.peg.2940,0.0,0.0,0.0,0.0
272563.8.peg.294,0.0,2.0,2.0,0.0
272563.8.peg.2946,0.0,0.0,0.0,0.0
272563.8.peg.2955,0.0,3.0,6.0,0.0
272563.8.peg.295,2.0,4.0,2.0,3.0
272563.8.peg.2961,0.0,2.0,5.0,2.0
272563.8.peg.2962,0.0,0.0,0.0,0.0
272563.8.peg.2968,1.0,0.0,2.0,2.0
272563.8.peg.2977,1.0,0.0,0.0,0.0
272563.8.peg.2980,2.0,3.0,1.0,7.0
272563.8.peg.2981,3.0,0.0,3.0,8.0
272563.8.peg.2983,0.0,0.0,4.0,1.0
272563.8.peg.2988,0.0,1.0,0.0,0.0
272563.8.peg.2999,0.0,10.0,0.0,0.0
272563.8.peg.3000,0.0,7.0,2.0,0.0
272563.8.peg.3001,0.0,15.0,2.0,0.0
272563.8.peg.3009,4.0,4.0,3.0,1.0
272563.8.peg.3011,5.0,1.0,6.0,1.0
272563.8.peg.3012,1.0,1.0,4.0,0.0
272563.8.peg.3013,0.0,0.0,3.0,1.0
272563.8.peg.3024,0.0,0.0,0.0,0.0
272563.8.peg.304,0.0,0.0,0.0,0.0
272563.8.peg.305,0.0,0.0,0.0,0.0
272563.8.peg.307,0.0,0.0,1.0,0.0
272563.8.peg.3083,0.0,1.0,0.0,0.0
272563.8.peg.308,0.0,0.0,1.0,0.0
272563.8.peg.309,1.0,0.0,0.0,0.0
272563.8.peg.3111,126.0,2.0,148.0,18.0
272563.8.peg.3114,0.0,0.0,0.0,0.0
272563.8.peg.3115,0.0,0.0,0.0,0.0
272563.8.peg.3116,1.0,0.0,0.0,0.0
272563.8.peg.3130,1.0,0.0,2.0,0.0
272563.8.peg.3134,0.0,0.0,0.0,0.0
272563.8.peg.3135,0.0,0.0,0.0,0.0
272563.8.peg.3138,1.0,0.0,0.0,7.0
272563.8.peg.3139,0.0,0.0,0.0,1.0
272563.8.peg.3146,17.0,7.0,4.0,23.0
272563.8.peg.3147,2.0,4.0,4.0,28.0
272563.8.peg.3148,11.0,8.0,4.0,17.0
272563.8.peg.3150,32.0,9.0,7.0,64.0
272563.8.peg.3153,3.0,2.0,2.0,0.0
272563.8.peg.3156,0.0,1.0,3.0,0.0
272563.8.peg.3171,0.0,1.0,0.0,0.0
272563.8.peg.3174,0.0,0.0,0.0,0.0
272563.8.peg.3176,0.0,13.0,0.0,0.0
272563.8.peg.3177,1.0,1.0,0.0,0.0
272563.8.peg.318,1.0,0.0,0.0,0.0
272563.8.peg.3192,0.0,3.0,0.0,0.0
272563.8.peg.3202,0.0,2.0,2.0,0.0
272563.8.peg.3204,0.0,7.0,1.0,0.0
272563.8.peg.3208,2.0,1.0,0.0,2.0
272563.8.peg.3209,1.0,2.0,0.0,0.0
272563.8.peg.320,1.0,0.0,0.0,0.0
272563.8.peg.3218,3.0,5.0,2.0,7.0
272563.8.peg.321,0.0,0.0,2.0,0.0
272563.8.peg.3223,0.0,0.0,0.0,0.0
272563.8.peg.3224,1.0,0.0,0.0,0.0
272563.8.peg.3225,0.0,0.0,0.0,0.0
272563.8.peg.3226,0.0,0.0,0.0,0.0
272563.8.peg.3228,0.0,0.0,2.0,1.0
272563.8.peg.3229,1.0,2.0,0.0,0.0
272563.8.peg.322,1.0,0.0,2.0,0.0
272563.8.peg.3235,62.0,85.0,74.0,15.0
272563.8.peg.3239,0.0,4.0,1.0,0.0
272563.8.peg.323,0.0,0.0,1.0,0.0
272563.8.peg.3240,0.0,3.0,1.0,0.0
272563.8.peg.3241,0.0,4.0,0.0,0.0
272563.8.peg.3244,3.0,2.0,0.0,2.0
272563.8.peg.3245,0.0,0.0,0.0,0.0
272563.8.peg.3247,0.0,1.0,0.0,0.0
272563.8.peg.3249,0.0,0.0,0.0,1.0
272563.8.peg.3250,0.0,0.0,0.0,0.0
272563.8.peg.3253,0.0,1.0,0.0,0.0
272563.8.peg.3259,1.0,0.0,1.0,0.0
272563.8.peg.3260,0.0,1.0,0.0,0.0
272563.8.peg.3269,0.0,1.0,0.0,0.0
272563.8.peg.3270,0.0,0.0,0.0,0.0
272563.8.peg.3272,0.0,0.0,0.0,0.0
272563.8.peg.3273,0.0,0.0,0.0,0.0
272563.8.peg.3275,0.0,0.0,1.0,0.0
272563.8.peg.3279,2.0,9.0,9.0,0.0
272563.8.peg.3281,0.0,1.0,0.0,2.0
272563.8.peg.3282,0.0,0.0,1.0,1.0
272563.8.peg.330,3.0,11.0,3.0,2.0
272563.8.peg.3321,83.0,23.0,31.0,695.0
272563.8.peg.3322,53.0,14.0,8.0,9.0
272563.8.peg.3323,41.0,14.0,10.0,13.0
272563.8.peg.3324,39.0,10.0,4.0,37.0
272563.8.peg.3325,80.0,24.0,15.0,212.0
272563.8.peg.3328,0.0,1.0,0.0,0.0
272563.8.peg.3329,1.0,2.0,1.0,0.0
272563.8.peg.3332,2.0,2.0,1.0,0.0
272563.8.peg.3333,1.0,2.0,0.0,1.0
272563.8.peg.3343,2.0,4.0,4.0,1.0
272563.8.peg.3375,2.0,4.0,3.0,1.0
272563.8.peg.3377,8.0,6.0,2.0,3.0
272563.8.peg.3380,17.0,14.0,12.0,26.0
272563.8.peg.3384,1.0,0.0,1.0,4.0
272563.8.peg.3388,2.0,11.0,10.0,3.0
272563.8.peg.3390,66.0,91.0,58.0,38.0
272563.8.peg.3392,89.0,109.0,46.0,10.0
272563.8.peg.3393,124.0,157.0,70.0,14.0
272563.8.peg.3394,182.0,274.0,112.0,294.0
272563.8.peg.3396,125.0,176.0,69.0,62.0
272563.8.peg.3406,4.0,3.0,1.0,2.0
272563.8.peg.3409,15.0,6.0,4.0,13.0
272563.8.peg.3414,0.0,1.0,0.0,1.0
272563.8.peg.3415,0.0,0.0,0.0,0.0
272563.8.peg.3416,0.0,0.0,0.0,0.0
272563.8.peg.3421,2.0,1.0,1.0,1.0
272563.8.peg.3425,2.0,1.0,1.0,1.0
272563.8.peg.3427,3.0,4.0,6.0,1.0
272563.8.peg.3429,0.0,4.0,0.0,0.0
272563.8.peg.3430,0.0,3.0,0.0,0.0
272563.8.peg.3431,0.0,0.0,1.0,0.0
272563.8.peg.3432,0.0,1.0,0.0,0.0
272563.8.peg.3434,13.0,12.0,3.0,8.0
272563.8.peg.3435,55.0,31.0,41.0,28.0
272563.8.peg.3436,30.0,13.0,10.0,2.0
272563.8.peg.3438,15.0,9.0,14.0,6.0
272563.8.peg.3439,7.0,5.0,1.0,4.0
272563.8.peg.3464,3.0,2.0,2.0,1.0
272563.8.peg.3472,7.0,7.0,10.0,1.0
272563.8.peg.348,3.0,5.0,3.0,4.0
272563.8.peg.3510,0.0,0.0,1.0,0.0
272563.8.peg.353,12.0,11.0,15.0,5.0
272563.8.peg.354,0.0,15.0,1.0,1.0
272563.8.peg.3557,35.0,9.0,3.0,47.0
272563.8.peg.3558,10.0,4.0,0.0,7.0
272563.8.peg.3559,3.0,1.0,5.0,1.0
272563.8.peg.3565,4.0,6.0,2.0,1.0
272563.8.peg.3578,0.0,0.0,0.0,0.0
272563.8.peg.3580,0.0,0.0,0.0,0.0
272563.8.peg.3582,5.0,13.0,6.0,14.0
272563.8.peg.3583,2.0,8.0,0.0,3.0
272563.8.peg.3584,2.0,1.0,2.0,1.0
272563.8.peg.3585,4.0,4.0,2.0,2.0
272563.8.peg.3588,4.0,3.0,3.0,1.0
272563.8.peg.3591,2.0,3.0,1.0,1.0
272563.8.peg.3595,1.0,1.0,0.0,1.0
272563.8.peg.3596,1.0,1.0,1.0,0.0
272563.8.peg.3598,2.0,3.0,3.0,1.0
272563.8.peg.3600,7.0,2.0,3.0,1.0
272563.8.peg.3601,5.0,8.0,3.0,2.0
272563.8.peg.3602,11.0,3.0,8.0,1.0
272563.8.peg.3606,6.0,2.0,5.0,0.0
272563.8.peg.3613,2.0,8.0,2.0,1.0
272563.8.peg.3616,1.0,1.0,0.0,0.0
272563.8.peg.3621,0.0,4.0,2.0,0.0
272563.8.peg.3624,4.0,4.0,6.0,5.0
272563.8.peg.3625,4.0,6.0,2.0,6.0
272563.8.peg.3628,6.0,33.0,28.0,3.0
272563.8.peg.3632,14.0,4.0,8.0,4.0
272563.8.peg.3633,42.0,24.0,10.0,36.0
272563.8.peg.3634,40.0,10.0,8.0,6.0
272563.8.peg.3635,34.0,12.0,8.0,9.0
272563.8.peg.3636,13.0,9.0,5.0,3.0
272563.8.peg.3640,8.0,6.0,5.0,1.0
272563.8.peg.3641,4.0,3.0,2.0,1.0
272563.8.peg.3642,5.0,3.0,2.0,1.0
272563.8.peg.3645,10.0,5.0,6.0,6.0
272563.8.peg.3656,3.0,0.0,7.0,1.0
272563.8.peg.365,5.0,4.0,2.0,7.0
272563.8.peg.3664,39.0,28.0,26.0,45.0
272563.8.peg.3682,26.0,16.0,13.0,237.0
272563.8.peg.3683,3.0,8.0,3.0,1.0
272563.8.peg.3708,6.0,4.0,5.0,26.0
272563.8.peg.3711,7.0,6.0,4.0,1.0
272563.8.peg.3717,2.0,3.0,3.0,1.0
272563.8.peg.3718,0.0,0.0,2.0,0.0
272563.8.peg.3722,25.0,17.0,16.0,65.0
272563.8.peg.3725,5.0,5.0,6.0,6.0
272563.8.peg.3728,0.0,0.0,0.0,0.0
272563.8.peg.3730,7.0,7.0,5.0,3.0
272563.8.peg.3732,2.0,1.0,0.0,5.0
272563.8.peg.3736,0.0,3.0,2.0,2.0
272563.8.peg.3759,3.0,2.0,4.0,11.0
272563.8.peg.3760,2.0,2.0,1.0,3.0
272563.8.peg.3761,2.0,2.0,2.0,8.0
272563.8.peg.3762,2.0,0.0,1.0,1.0
272563.8.peg.3763,1.0,2.0,0.0,1.0
272563.8.peg.3768,2.0,1.0,0.0,1.0
272563.8.peg.3769,2.0,2.0,3.0,0.0
272563.8.peg.3770,5.0,6.0,2.0,1.0
272563.8.peg.3777,0.0,1.0,0.0,0.0
272563.8.peg.3799,1.0,10.0,4.0,0.0
272563.8.peg.3804,3.0,7.0,8.0,0.0
272563.8.peg.3805,0.0,0.0,0.0,0.0
272563.8.peg.3820,0.0,0.0,0.0,0.0
272563.8.peg.3822,0.0,2.0,0.0,1.0
272563.8.peg.3823,0.0,3.0,1.0,0.0
272563.8.peg.3825,4.0,1.0,1.0,0.0
272563.8.peg.3830,10.0,4.0,1.0,29.0
272563.8.peg.3838,70.0,60.0,25.0,69.0
272563.8.peg.3846,6.0,5.0,9.0,2.0
272563.8.peg.3857,13.0,9.0,3.0,15.0
272563.8.peg.408,3.0,13.0,4.0,1.0
272563.8.peg.409,2.0,13.0,3.0,0.0
272563.8.peg.411,0.0,0.0,0.0,0.0
272563.8.peg.414,25.0,4.0,40.0,3.0
272563.8.peg.423,54.0,64.0,52.0,12.0
272563.8.peg.425,0.0,3.0,0.0,2.0
272563.8.peg.42,0.0,0.0,1.0,0.0
272563.8.peg.43,0.0,0.0,0.0,0.0
272563.8.peg.45,0.0,1.0,0.0,0.0
272563.8.peg.466,0.0,0.0,0.0,0.0
272563.8.peg.46,1.0,3.0,0.0,0.0
272563.8.peg.472,0.0,1.0,1.0,0.0
272563.8.peg.473,0.0,1.0,1.0,0.0
272563.8.peg.476,10.0,2.0,3.0,0.0
272563.8.peg.47,0.0,1.0,0.0,0.0
272563.8.peg.48,0.0,3.0,1.0,0.0
272563.8.peg.493,0.0,0.0,0.0,0.0
272563.8.peg.50,0.0,1.0,0.0,0.0
272563.8.peg.513,6.0,8.0,6.0,2.0
272563.8.peg.514,0.0,4.0,4.0,0.0
272563.8.peg.515,1.0,5.0,8.0,0.0
272563.8.peg.516,0.0,7.0,7.0,0.0
272563.8.peg.517,0.0,5.0,3.0,0.0
272563.8.peg.518,1.0,8.0,15.0,0.0
272563.8.peg.51,2.0,0.0,2.0,0.0
272563.8.peg.52,0.0,0.0,0.0,0.0
272563.8.peg.55,0.0,2.0,1.0,0.0
272563.8.peg.56,0.0,2.0,0.0,0.0
272563.8.peg.570,4.0,5.0,4.0,1.0
272563.8.peg.57,1.0,2.0,1.0,1.0
272563.8.peg.585,3.0,5.0,4.0,0.0
272563.8.peg.601,6.0,12.0,6.0,28.0
272563.8.peg.60,5.0,4.0,0.0,5.0
272563.8.peg.610,0.0,2.0,1.0,0.0
272563.8.peg.618,2.0,1.0,0.0,0.0
272563.8.peg.620,1.0,1.0,0.0,0.0
272563.8.peg.62,8.0,12.0,18.0,13.0
272563.8.peg.636,0.0,0.0,0.0,0.0
272563.8.peg.724,0.0,0.0,3.0,0.0
272563.8.peg.725,0.0,0.0,1.0,0.0
272563.8.peg.734,5.0,4.0,3.0,4.0
272563.8.peg.735,10.0,10.0,3.0,6.0
272563.8.peg.746,6.0,4.0,4.0,4.0
272563.8.peg.755,12.0,24.0,48.0,16.0
272563.8.peg.756,5.0,7.0,9.0,4.0
272563.8.peg.757,4.0,7.0,13.0,2.0
272563.8.peg.759,3.0,4.0,8.0,8.0
272563.8.peg.760,6.0,5.0,16.0,1.0
272563.8.peg.766,18.0,31.0,40.0,9.0
272563.8.peg.770,2.0,2.0,5.0,0.0
272563.8.peg.774,2.0,2.0,3.0,2.0
272563.8.peg.778,0.0,0.0,0.0,0.0
272563.8.peg.77,28.0,25.0,12.0,196.0
272563.8.peg.78,37.0,29.0,17.0,213.0
272563.8.peg.795,0.0,0.0,0.0,1.0
272563.8.peg.796,4.0,0.0,1.0,90.0
272563.8.peg.801,0.0,0.0,10.0,0.0
272563.8.peg.804,1.0,0.0,4.0,0.0
272563.8.peg.805,1.0,1.0,10.0,0.0
272563.8.peg.818,4.0,4.0,5.0,2.0
272563.8.peg.821,0.0,7.0,6.0,1.0
272563.8.peg.831,7.0,6.0,5.0,1.0
272563.8.peg.837,0.0,0.0,1.0,0.0
272563.8.peg.838,0.0,1.0,3.0,0.0
272563.8.peg.854,4.0,1.0,0.0,1.0
272563.8.peg.856,4.0,6.0,1.0,1.0
272563.8.peg.866,2.0,5.0,6.0,0.0
272563.8.peg.871,0.0,0.0,1.0,0.0
272563.8.peg.872,2.0,0.0,2.0,0.0
272563.8.peg.879,4.0,10.0,13.0,0.0
272563.8.peg.893,27.0,60.0,90.0,7.0
272563.8.peg.894,33.0,44.0,64.0,4.0
272563.8.peg.895,11.0,26.0,21.0,4.0
272563.8.peg.896,31.0,50.0,55.0,3.0
272563.8.peg.901,0.0,0.0,0.0,0.0
272563.8.peg.902,0.0,0.0,0.0,0.0
272563.8.peg.903,1.0,0.0,0.0,0.0
272563.8.peg.907,4.0,1.0,1.0,1.0
272563.8.peg.911,1.0,1.0,1.0,0.0
272563.8.peg.921,2.0,4.0,21.0,0.0
272563.8.peg.922,3.0,8.0,25.0,0.0
272563.8.peg.923,4.0,10.0,35.0,2.0
272563.8.peg.924,6.0,12.0,18.0,1.0
272563.8.peg.927,0.0,0.0,0.0,0.0
272563.8.peg.928,0.0,0.0,0.0,2.0
272563.8.peg.929,0.0,1.0,0.0,1.0
272563.8.peg.930,0.0,0.0,1.0,1.0
272563.8.peg.9,11.0,6.0,5.0,2.0
CD630_00450,0.0,0.0,1.0,0.0
CD630_01120,2.0,9.0,17.0,2.0
CD630_01530,1.0,2.0,2.0,0.0
CD630_01540,2.0,5.0,0.0,1.0
CD630_01550,0.0,10.0,3.0,0.0
CD630_01790,27.0,63.0,85.0,4.0
CD630_02440,7.0,7.0,3.0,4.0
CD630_03940,20.0,11.0,44.0,3.0
CD630_03950,44.0,23.0,83.0,7.0
CD630_03960,56.0,27.0,71.0,5.0
CD630_03970,54.0,29.0,92.0,32.0
CD630_03980,79.0,42.0,96.0,29.0
CD630_06820,0.0,0.0,1.0,0.0
CD630_07500,1.0,2.0,0.0,0.0
CD630_08730,26.0,0.0,1.0,28.0
CD630_08760,1.0,1.0,0.0,1.0
CD630_10030,0.0,1.0,2.0,1.0
CD630_10040,1.0,0.0,1.0,0.0
CD630_10100,3.0,2.0,4.0,0.0
CD630_10540,40.0,46.0,89.0,10.0
CD630_12250,1.0,0.0,2.0,0.0
CD630_12590,0.0,57.0,22.0,0.0
CD630_14930,4.0,2.0,2.0,0.0
CD630_17760,4.0,2.0,2.0,0.0
CD630_21960,0.0,1.0,0.0,0.0
CD630_21990,0.0,1.0,0.0,1.0
CD630_21991,0.0,0.0,0.0,0.0
CD630_22770,0.0,2.0,1.0,0.0
CD630_23390,1.0,23.0,20.0,0.0
CD630_23410,6.0,19.0,15.0,0.0
CD630_23420,10.0,28.0,14.0,0.0
CD630_23540,75.0,97.0,104.0,33.0
CD630_23710,2.0,0.0,1.0,0.0
CD630_23800,7.0,42.0,27.0,9.0
CD630_24170,0.0,0.0,1.0,0.0
CD630_24180,0.0,0.0,0.0,0.0
CD630_25690,0.0,1.0,2.0,0.0
CD630_26510,6.0,12.0,5.0,3.0
CD630_26550,2.0,2.0,2.0,2.0
CD630_30130,0.0,0.0,6.0,0.0
CD630_30140,0.0,0.0,1.0,0.0
CD630_30150,0.0,0.0,4.0,0.0
CD630_32370_1,66.0,80.0,36.0,41.0
CD630_32370_2,61.0,77.0,47.0,41.0
CD630_32440,143.0,162.0,65.0,69.0
CD630_35150,5.0,6.0,5.0,1.0
K00529,0.0,11.0,0.0,0.0
T4BV06_CLODI,0.0,0.0,0.0,0.0
